date,special,prize1,prize2_1,prize2_2,prize3_1,prize3_2,prize3_3,prize3_4,prize3_5,prize3_6,prize4_1,prize4_2,prize4_3,prize4_4,prize5_1,prize5_2,prize5_3,prize5_4,prize5_5,prize5_6,prize6_1,prize6_2,prize6_3,prize7_1,prize7_2,prize7_3,prize7_4
2005-10-21,59403,25344,40830,10019,81764,88907,31587,75240,27083,93703,7286,1679,3094,2775,4082,6392,3172,8271,4128,3500,884,958,202,72,85,40,66
2005-10-22,8310,58608,50000,59179,62552,13847,74936,68362,46834,1755,1159,9650,8860,2709,9332,4288,9208,3789,9046,6363,719,844,829,70,4,28,88
2005-10-23,69886,76464,65666,5897,88694,33599,34452,14077,2230,58217,358,7676,8166,6355,4985,1705,8626,4683,4002,7948,319,941,51,14,20,2,28
2005-10-24,7114,77041,15383,37721,32601,96927,26920,29767,93215,13311,9620,3969,2789,4832,1978,6489,508,67,9404,6072,718,41,176,36,91,37,67
2005-10-25,25734,92511,41704,71001,83168,9955,86289,91106,5785,63360,4786,888,9036,4371,6518,9803,9780,8732,7372,5088,693,402,167,95,54,12,21
2005-10-26,31791,93315,71696,32690,47434,56463,39191,2433,14330,50599,5568,3634,2236,2852,4045,6882,629,7924,4646,3118,748,798,588,14,13,79,95
2005-10-27,79406,49690,35862,2321,46567,78870,90893,90783,10321,29485,530,9859,5324,6220,781,8929,7838,1553,1435,6642,746,979,476,43,4,96,21
2005-10-28,54238,22592,41618,54256,42810,16494,69082,81683,73336,30261,6396,4223,3719,8537,6626,8790,4594,7895,2808,9695,915,557,772,63,91,83,87
2005-10-29,27483,77224,20409,95083,99245,74190,84277,71742,10346,3194,6976,5696,8374,8380,4078,772,2468,9103,7500,3716,105,898,533,37,44,56,52
2005-10-30,78585,20369,47464,88428,67910,87764,89392,25457,86695,81610,1719,7792,1777,774,9605,3405,2452,5740,1891,1301,743,262,416,18,5,74,21
2005-10-31,23764,90793,70953,36139,79971,96078,92800,53265,76654,30649,746,9431,6802,4693,1872,7906,5668,7229,7350,3670,631,231,701,57,34,58,19
2005-11-01,9946,62450,87555,29525,25522,92182,42875,15978,3009,5362,7099,6239,6981,3214,3834,1053,5426,5779,175,5164,175,713,957,43,19,80,53
2005-11-02,47678,83581,53359,26296,86353,97600,47626,28355,8174,72939,9536,7807,5462,3958,1432,4848,5541,9954,8030,1722,406,704,768,29,7,10,66
2005-11-03,46216,92580,3219,54951,79238,24748,40063,6031,52952,35350,5043,5290,3617,8575,3832,3996,5531,8992,2672,4255,9,706,580,51,88,69,48
2005-11-04,6615,11961,97651,78130,50057,90283,79694,12130,57095,19471,8871,1215,8410,6465,1039,1684,6284,4596,3288,5636,607,424,673,96,73,89,14
2005-11-05,60256,97373,68203,38830,51304,68225,29732,80592,63929,75413,1199,5451,9542,5952,2320,9684,9014,8632,5254,6622,876,978,140,34,36,32,69
2005-11-06,84464,7295,94349,34455,35387,47292,32585,52821,77804,42755,8784,3547,8977,3194,1288,1357,9656,5711,166,1725,250,987,997,96,51,69,25
2005-11-07,24795,82562,31716,97001,69797,85710,13727,37602,56545,34481,8368,8500,9936,2100,9745,7166,9663,7416,568,3301,869,794,459,75,71,72,14
2005-11-08,84860,26456,91455,78835,27425,22386,2107,48861,85799,76897,6470,7231,3820,6007,468,8377,7618,4560,4067,2077,242,316,43,10,83,29,12
2005-11-09,43990,45262,11040,51969,20594,17403,10310,49587,83861,82567,4862,2878,7920,3341,2296,4700,1750,8856,7262,9510,915,692,545,65,68,23,77
2005-11-10,72718,89658,87421,6233,26999,96608,63271,34872,73808,46282,1253,997,3492,6902,6023,1145,9074,4522,4574,9132,344,529,253,78,62,83,47
2005-11-11,77533,56840,62114,78290,57937,74062,78225,78014,27098,48940,7129,7766,4725,6304,9186,3616,5317,5757,3076,2839,950,652,412,70,94,30,24
2005-11-12,85287,86749,27091,91975,14356,73199,98212,12544,25677,67771,3521,3861,1266,9676,7788,2907,4439,4744,5599,4104,196,24,372,1,78,86,15
2005-11-13,28979,78492,7962,15554,15838,54483,90969,43809,25535,48312,6459,2886,691,8941,8688,4103,8371,401,4375,395,182,704,602,78,34,65,77
2005-11-14,83519,69637,73328,25111,85848,84388,25721,38344,13610,13872,1313,8774,8032,3843,6467,9383,4913,9308,5573,9749,523,128,475,83,43,40,36
2005-11-15,57506,48455,81344,29781,54534,10472,58810,26776,94508,77781,2399,4863,3167,1706,8927,1815,1662,3354,7174,941,111,194,569,37,20,71,18
2005-11-16,13114,70236,14255,23519,87429,22907,92789,83681,65332,85228,4189,4551,4498,2789,666,3904,8543,36,7909,1954,386,328,783,74,93,27,6
2005-11-17,74793,81220,21769,6598,12115,81170,9966,22390,40194,6364,5320,2615,8737,3607,4251,7032,932,8609,2383,5381,330,169,66,68,53,84,26
2005-11-18,94294,80335,71749,45920,35525,9161,92372,36364,16063,56792,1296,2527,4901,5373,1246,1408,9479,7517,9676,2230,999,311,727,22,6,2,46
2005-11-19,10230,58646,72724,61642,90190,87361,50294,11349,97894,31362,6706,8679,1309,1846,7411,2521,2790,2646,8186,4820,116,789,669,49,41,70,88
2005-11-20,22003,33761,37949,10316,16975,76159,78441,51429,92903,97956,6618,5807,8880,658,8732,5730,5903,1460,7864,561,986,785,15,34,72,62,51
2005-11-21,74081,93273,8275,40512,17388,49154,80132,3113,5866,17261,2063,7854,9361,7337,1011,3722,1875,4692,1052,7947,427,706,953,23,25,74,77
2005-11-22,34300,67526,64508,79037,16447,92005,41949,33683,91680,26828,9622,589,6231,8517,8197,2670,7788,7703,9347,5578,919,838,412,95,65,91,64
2005-11-23,95008,32085,59522,57887,27171,88121,82493,4742,83342,72348,1956,2857,6180,5346,8191,974,2446,425,6390,6848,214,851,269,61,8,1,64
2005-11-24,74258,13802,11485,22012,16275,11958,70258,11440,28292,92545,7896,416,7185,6308,1266,9406,5542,5775,1838,473,63,185,760,23,18,81,9
2005-11-25,3464,94605,13791,71057,71541,86592,72378,23622,63234,29322,5304,6289,3868,5479,5757,9382,6844,6071,7208,7672,113,32,79,64,76,2,24
2005-11-26,9008,39844,80105,12140,51348,83080,92770,76673,82919,3570,5251,2224,8261,1881,236,406,290,3880,6988,2297,302,824,963,53,58,72,21
2005-11-27,67471,40653,78971,25812,56691,88951,48846,14104,41327,44676,909,8217,4174,2764,8378,1243,3717,4425,1118,2408,745,876,215,51,47,66,27
2005-11-28,89348,90835,62139,59889,53204,63302,23231,65757,88286,32452,5662,6091,7760,7809,262,6845,4377,2677,4952,3027,236,521,931,23,16,32,82
2005-11-29,9824,42109,70384,91107,15383,15695,50621,11459,69175,15589,7321,203,1243,1762,1755,6353,4336,8748,1845,979,216,801,433,21,93,4,67
2005-11-30,74087,81003,31932,68924,45111,17337,54752,26354,55057,30907,7782,1868,6966,1944,238,8088,2120,7657,4426,2046,214,269,154,7,40,35,42
2005-12-01,15508,30892,64880,59744,16161,49098,45583,97577,86133,65926,1780,2665,1225,5325,3766,3279,3635,7883,9089,6860,79,571,926,94,39,35,29
2005-12-02,19624,32360,89674,32254,91069,82960,43942,95575,97495,91517,7925,4477,3635,4048,5325,8873,3957,7178,8770,6911,846,294,590,17,54,32,83
2005-12-03,29411,14928,95320,52775,60634,77145,10865,24367,59700,80040,3984,9539,7336,6344,2205,9726,9068,7431,7491,5303,988,49,697,64,32,43,2
2005-12-04,80004,87534,12038,59335,46347,70317,43231,82736,5597,83695,839,603,6213,4918,955,4831,9993,7715,5629,9278,925,730,85,32,38,86,73
2005-12-05,75026,4373,94573,1727,53747,96145,73502,74570,34229,12033,2535,7865,6034,4186,5610,5259,2212,7622,474,2710,253,584,592,85,93,67,8
2005-12-06,75343,10810,18063,38219,25293,9759,37511,72727,86421,11929,792,1269,5863,103,6977,9301,2934,3389,1887,5105,651,541,950,10,12,45,86
2005-12-07,83110,15975,56748,76343,1023,89269,43183,38013,15101,89784,9395,9136,4591,1179,582,6177,3596,885,8296,8167,183,760,717,37,54,53,15
2005-12-08,72225,36137,72013,59906,68563,26277,2443,26587,65935,35834,4130,5955,9568,3459,842,2949,7151,5966,2837,1565,188,864,254,83,54,11,74
2005-12-09,61217,9451,36203,17377,34216,3803,9333,56343,70879,53529,2705,7146,9945,2726,3656,9890,4512,8958,7195,7329,409,397,517,79,74,25,18
2005-12-10,91298,82453,47459,43214,96740,20116,77302,23950,62836,28243,8050,1785,2708,5465,3859,1044,999,5301,9015,239,517,670,501,69,52,29,32
2005-12-11,45352,81895,27596,66491,76528,78945,50058,66915,43159,52956,540,4117,9858,3167,7189,7090,7364,7659,8109,1986,508,544,638,76,13,64,92
2005-12-12,55418,15342,13852,32706,96443,54182,20237,72883,30348,3592,8557,7704,3071,154,6133,8929,3676,8733,8891,4373,902,453,485,62,36,92,63
2005-12-13,14938,12296,99434,56202,2918,72925,10135,17778,59025,75257,1291,6461,4091,49,6645,5585,1548,3325,2014,5759,849,53,669,79,57,65,41
2005-12-14,17124,1424,16893,37551,83474,33404,58743,91165,29298,66756,6823,9644,1782,2019,4418,2175,9042,3009,5449,6685,70,375,97,13,41,63,22
2005-12-15,24605,40510,86578,89116,14324,68408,87119,4649,77711,70327,7070,5902,7662,5570,5068,1635,9884,1948,5647,4582,769,991,97,26,86,76,27
2005-12-16,28448,76573,5404,71525,67382,44413,75513,13047,14536,71971,9686,6226,4214,3902,7288,9226,6534,5955,8291,764,494,928,592,15,96,92,98
2005-12-17,36066,93224,70402,10254,50665,48407,72408,89617,59485,63958,9207,1148,5386,7405,4568,7820,9790,7545,8142,1445,189,201,447,23,28,32,61
2005-12-18,95323,88158,82262,68934,92429,85167,11579,9469,27302,50345,6977,4889,5868,6369,8673,6328,1418,3734,7486,4075,381,761,345,48,67,44,65
2005-12-19,93886,77159,80050,37666,19702,34992,55183,61865,11931,45569,8233,3311,5952,2170,6962,8721,2646,4823,2605,1969,754,707,440,40,59,88,68
2005-12-20,35292,43105,49605,42926,88497,57475,11182,64009,14293,53584,2953,1942,2986,1240,3773,8278,5171,2279,5457,7081,230,165,476,56,19,69,11
2005-12-21,45087,54214,20030,90752,67399,23093,24346,25447,44044,20904,4767,2616,7361,2723,2714,3393,2630,4765,2101,4973,629,769,896,34,73,67,76
2005-12-22,76127,9688,79445,5616,65390,42224,19672,43964,5317,31742,3237,8564,2201,7837,87,5619,1255,5935,2724,5834,695,688,473,60,82,38,69
2005-12-23,21345,25710,69084,68691,41713,4608,66477,55275,70764,18294,1119,6233,829,3878,3951,8087,6207,4686,5220,9207,450,452,435,22,67,39,78
2005-12-24,65520,88336,92448,41493,53086,11234,8774,31549,82789,81221,5358,8388,4929,8062,2330,1442,7924,4880,6928,7623,337,272,726,17,77,99,89
2005-12-25,41252,3054,14490,13518,81664,32629,93724,81529,79937,62150,8238,1503,912,9459,8347,3054,6411,3320,5743,4332,811,217,819,76,92,65,17
2005-12-26,44991,17231,44589,36008,83668,57631,93890,96797,97625,23919,2317,983,9091,6121,2319,1658,2601,8418,435,8662,464,503,717,74,69,61,5
2005-12-27,9778,31496,7092,61248,47445,58824,65842,26607,53530,92313,8884,7376,9560,336,316,3613,4191,1484,558,4773,884,365,384,66,5,50,7
2005-12-28,64632,82177,22028,75601,72490,33805,60942,35724,9315,30291,8896,9083,5281,6039,4636,9068,6657,8079,5546,6638,993,470,606,30,39,16,71
2005-12-29,99368,46055,62778,60289,88506,69626,47494,79209,66476,37029,8465,1393,4087,8999,5796,9647,4446,5179,4744,6508,865,175,769,78,24,43,86
2005-12-30,48190,91333,58172,14448,90565,34900,50614,46798,63892,91111,8065,1148,8360,1714,8479,8089,8286,3284,1481,7953,531,695,49,72,34,66,31
2005-12-31,84069,49627,5573,48022,9718,85000,63953,93888,66863,34383,1925,1731,8723,4761,8612,2841,9382,1547,4458,2559,483,523,305,26,69,16,13
